obs_id,timestart,timeend,valor,timeupdate
16251392168,2021-05-08 10:00:00,2021-05-08 11:00:00,0,2021-05-10 14:17:42.484964
16251392167,2021-05-08 11:00:00,2021-05-08 12:00:00,0,2021-05-10 14:17:42.484964
16251392166,2021-05-08 12:00:00,2021-05-08 13:00:00,0,2021-05-10 14:17:42.484964
16251392165,2021-05-08 13:00:00,2021-05-08 14:00:00,0,2021-05-10 14:17:42.484964
16251392164,2021-05-08 14:00:00,2021-05-08 15:00:00,0,2021-05-10 14:17:42.484964
16251392163,2021-05-08 15:00:00,2021-05-08 16:00:00,0,2021-05-10 14:17:42.484964
16251392162,2021-05-08 16:00:00,2021-05-08 17:00:00,0,2021-05-10 14:17:42.484964
16251392161,2021-05-08 17:00:00,2021-05-08 18:00:00,0,2021-05-10 14:17:42.484964
16251392160,2021-05-08 18:00:00,2021-05-08 19:00:00,0,2021-05-10 14:17:42.484964
16251392159,2021-05-08 19:00:00,2021-05-08 20:00:00,0,2021-05-10 14:17:42.484964
16251392158,2021-05-08 20:00:00,2021-05-08 21:00:00,0,2021-05-10 14:17:42.484964
16251392157,2021-05-08 21:00:00,2021-05-08 22:00:00,0,2021-05-10 14:17:42.484964
16251392156,2021-05-08 22:00:00,2021-05-08 23:00:00,0,2021-05-10 14:17:42.484964
16251392155,2021-05-08 23:00:00,2021-05-09 00:00:00,0,2021-05-10 14:17:42.484964
16251392154,2021-05-09 00:00:00,2021-05-09 01:00:00,0,2021-05-10 14:17:42.484964
16251392153,2021-05-09 01:00:00,2021-05-09 02:00:00,0,2021-05-10 14:17:42.484964
16251392152,2021-05-09 02:00:00,2021-05-09 03:00:00,0,2021-05-10 14:17:42.484964
16251392151,2021-05-09 03:00:00,2021-05-09 04:00:00,0,2021-05-10 14:17:42.484964
16251392150,2021-05-09 04:00:00,2021-05-09 05:00:00,0,2021-05-10 14:17:42.484964
16251392149,2021-05-09 05:00:00,2021-05-09 06:00:00,0,2021-05-10 14:17:42.484964
